Contract ID,Contractor,Contract Type
25AG0077,GED CONSTRUCTION,solo
25AG0078,GED CONSTRUCTION,solo
24AF0012,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,solo
24AF0141,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0195,HIGH ROCK CONSTRUCTION AND SUPPLIES INCORPORATED,multiple
24AF0195,JHI CONSTRUCTION & SUPPLY,multiple
24AF0126,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,solo
24AF0125,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,solo
24AF0139,KRYPTONITE 6S BUILDERS INC.,solo
24AF0123,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,solo
24AF0140,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0121,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,solo
24AF0122,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,solo
24AF0120,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,solo
24AF0124,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,solo
24AF0110,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24AF0112,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24AF0111,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24AF0114,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24AF0113,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24AF0094,ANORE CONSTRUCTION,solo
24AF0094,ANORE CONSTRUCTION,solo
24AF0096,ANORE CONSTRUCTION,solo
24AF0101,PANGASINAN NEW WILSON LUMBER & CONSTRUCTION SUPPLY,solo
24AF0051,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0043,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0042,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0048,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0050,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0013,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,solo
24A00337,MY BUILDERS AND CONSTRUCTION,solo
24AG0021,ORIENTAL SALES CENTER AND CONTRACTOR,multiple
24AG0021,ALCEL CONSTRUCTION,multiple
24AG0012,JONIK TRADING & CONSTRUCTION,multiple
24AG0012,ALCEL CONSTRUCTION,multiple
24A00307,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0104,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0053,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0095,ANORE CONSTRUCTION,solo
24AF0040,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0041,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0049,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,solo
24AF0017,A.I.P. CONSTRUCTION,solo
24AG0113,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,solo
24A00489,LATAWAN EDUARDO AP-O DEVELOPERS CONSTRUCTION SERVICES,multiple
24A00489,E.T. LATAWAN CONSTRUCTION,multiple
24AG0136,ANORE CONSTRUCTION,solo
24AD0025,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,solo
24AD0070,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,solo
24AG0116,ANORE CONSTRUCTION,solo
24AG0115,ANORE CONSTRUCTION,solo
24AG0139,ANORE CONSTRUCTION,solo
